"AU_scale";"AU";"Area_km2";"Substance";"Type";"Matrix";"CR";"ConfThresh";"CountStations";"CountData";"ConfSpatial";"ConfMethod";"ConfTemp"
3;"The Quark Swedish Coastal waters";1894.20339705;"PFOS";"Org";"Biota";0.031444929;"H";1;1;"M";"M";"L"
3;"The Quark Swedish Coastal waters";1894.20339705;"SBD6";"Org";"Biota";31.769374;"H";2;2;"M";"L";"H"
3;"The Quark Swedish Coastal waters";1894.20339705;"SCB6";"Org";"Biota";0.073469465;"H";2;3;"M";"H";"H"
3;"The Quark Swedish Coastal waters";1894.20339705;"SCB6";"Org";"Biota";0.065169207;"H";2;3;"M";"H";"M"
3;"The Quark Swedish Coastal waters";1894.20339705;"SDX";"Org";"Biota";0.190615408;"H";2;3;"M";"L";"M"
3;"The Quark Swedish Coastal waters";1894.20339705;"SDX";"Org";"Biota";0.22010939;"H";2;3;"M";"H";"H"
3;"The Quark Swedish Coastal waters";1894.20339705;"HBCD";"Org";"Biota";0.000898204;"H";2;2;"M";"L";"L"
3;"The Quark Swedish Coastal waters";1894.20339705;"HG";"HM";"Biota";2.940745615;"H";2;3;"M";"L";"H"
3;"The Quark Swedish Coastal waters";1894.20339705;"PB";"HM";"Biota";0.092227529;"H";2;3;"M";"M";"M"
3;"The Quark Swedish Coastal waters";1894.20339705;"SBD6";"Org";"Biota";26.38004121;"H";2;2;"M";"M";"M"
3;"The Quark Swedish Coastal waters";1894.20339705;"SCB6";"Org";"Biota";0.088601434;"H";2;3;"M";"H";"M"
3;"The Quark Swedish Coastal waters";1894.20339705;"SDX";"Org";"Biota";0.186640392;"H";2;3;"M";"L";"L"
3;"The Quark Swedish Coastal waters";1894.20339705;"CS-137";"Rad";"Biota";1.960233333;"H";1;1;"M";"L";"H"
3;"Bothnian Sea Finnish Coastal waters";3518.72901725;"HBCD";"Org";"Biota";0.001559996;"H";2;2;"M";"M";"L"
3;"Bothnian Sea Finnish Coastal waters";3518.72901725;"HG";"HM";"Biota";6.5;"H";3;3;"M";"M";"H"
3;"Bothnian Sea Finnish Coastal waters";3518.72901725;"PB";"HM";"Biota";0.384615385;"H";1;1;"M";"L";"M"
3;"Bothnian Sea Finnish Coastal waters";3518.72901725;"PFOS";"Org";"Biota";0.159340659;"H";3;7;"M";"L";"H"
3;"Bothnian Sea Finnish Coastal waters";3518.72901725;"PFOS";"Org";"Biota";0.27720146;"H";3;7;"M";"L";"M"
3;"Bothnian Sea Finnish Coastal waters";3518.72901725;"PFOS";"Org";"Biota";0.206888084;"H";3;7;"M";"L";"H"
3;"Bothnian Sea Finnish Coastal waters";3518.72901725;"SBD6";"Org";"Biota";98.14287536;"H";2;2;"M";"M";"H"
3;"Bothnian Sea Finnish Coastal waters";3518.72901725;"SCB6";"Org";"Biota";0.257755285;"H";2;2;"M";"H";"H"
3;"Bothnian Sea Finnish Coastal waters";3518.72901725;"HG";"HM";"Biota";5.979130372;"H";3;3;"M";"M";"L"
3;"Bothnian Sea Finnish Coastal waters";3518.72901725;"HBCD";"Org";"Biota";0.011654377;"H";2;2;"M";"H";"M"
3;"Bothnian Sea Finnish Coastal waters";3518.72901725;"PFOS";"Org";"Biota";0.081318681;"H";3;7;"M";"H";"M"
3;"Bothnian Sea Finnish Coastal waters";3518.72901725;"PFOS";"Org";"Biota";0.150549451;"H";3;7;"M";"H";"M"
