"Station";"longitude";"latitude";"Matrix";"Substance";"Type";"CR";"Units";"Response";"ConfThresh";"ConfStatus";"Datatype"
"MCR230010";12.566;55.96817;"Biota";"SCB6";"Org";0.183028508;"All";"+";"H";"H";"All"
"MCR240021";12.42817;55.388;"Sediment";"ANT";"Org";19.90740741;"All";"+";"H";"H";"All"
"MCR240021";12.42817;55.388;"Sediment";"CD";"HM";0.417920405;"All";"+";"H";"H";"All"
"MCR240021";12.42817;55.388;"Sediment";"PB";"HM";0.049132863;"All";"+";"H";"H";"All"
"MEBU1";11.3334393945455;54.1163970309091;"Water";"CS-137";"Rad";1.410651945;"All";"+";"H";"H";"All"
"MEBU2";11.2566538969231;54.2397050769231;"Water";"CS-137";"Rad";1.261728264;"All";"+";"H";"H";"All"
"Mikkelinsaaret";21.71356;63.38424;"Biota";"HG";"HM";5;"All";"+";"H";"H";"All"
"Mikkelinsaaret";21.71356;63.38424;"Biota";"SBD6";"Org";70.02135823;"All";"+";"H";"H";"All"
"Mikkelinsaaret";21.71356;63.38424;"Biota";"SCB6";"Org";0.232629995;"All";"+";"H";"H";"All"
"Møen";12.6833095228571;54.95;"Water";"CS-137";"Rad";1.562740127;"All";"+";"H";"H";"All"
"MYREFJ";11.245;58.6033;"Water";"CS-137";"Rad";0.775933333;"All";"+";"H";"H";"All"
"N Baltic Proper off shore";20.5;58.75;"Biota";"HBCD";"Org";0.003678398;"All";"+";"H";"H";"All"
"N Baltic Proper off shore";20.5;58.75;"Biota";"HG";"HM";1.119964907;"All";"+";"H";"H";"All"
"N Baltic Proper off shore";20.5;58.75;"Biota";"PB";"HM";0.463579669;"All";"+";"H";"H";"All"
"N Baltic Proper off shore";20.5;58.75;"Biota";"PFOS";"Org";0.067016672;"All";"+";"H";"H";"All"
"N Baltic Proper off shore";20.5;58.75;"Biota";"SBD6";"Org";30.9024529;"All";"+";"H";"H";"All"
"N Baltic Proper off shore";20.5;58.75;"Biota";"SCB6";"Org";0.071123426;"All";"+";"H";"H";"All"
"N Baltic Proper off shore";20.5;58.75;"Biota";"SDX";"Org";0.338822402;"All";"+";"H";"H";"All"
"N-6";20.704;55.403;"Water";"PFOS";"Org";28.46153846;"All";"+";"H";"H";"All"
"N8";28.0018766666667;59.47475;"Water";"CS-137";"Rad";0.703222222;"All";"+";"H";"H";"All"
"NEUBU";10.8497443883333;54.0502611116667;"Water";"CS-137";"Rad";1.200233333;"All";"+";"H";"H";"All"
"Nidingen";11.9;57.3;"Biota";"BAP";"Org";0.010968223;"All";"+";"H";"H";"All"
